Symbol,Name,Index,Sector ,ESG,MarketCap,
GATO,GATOS SILVER INC,Russell 2000,Materials,57.2," 234,365,952 ",91.06830123
MTDR,MATADOR RESOURCES,Russell 2000,Energy,55.9," 6,443,718,656 ",88.7915937
CRK,COMSTOCK RESOURCES INC,Russell 2000,Energy,55.4," 4,155,292,928 ",87.91593695
MNRL,BRIGHAM MINERALS INC CLASS A,Russell 2000,Energy,55.2," 1,464,633,344 ",87.56567426
ROCC,RANGER OIL CORP CLASS A,Russell 2000,Energy,55," 757,194,688 ",87.21541156
FLMN,FALCON MINERALS CORP CLASS A,Russell 2000,Energy,54.4," 337,430,944 ",86.16462347
MGY,MAGNOLIA OIL GAS CORP CLASS A,Russell 2000,Energy,53," 7,381,897,216 ",83.71278459
REPX,RILEY EXPLORATION PERMIAN INC,Russell 2000,Energy,52.8," 509,924,320 ",83.36252189
BEEM,BEAM GLOBAL,Russell 2000,Industrials,52.5," 192,177,904 ",82.83712785
MP,MP MATERIALS CORP CLASS A,Russell 2000,Materials,52.3," 7,205,821,440 ",82.48686515
CDEV,CENTENNIAL RESOURCE DEVELOPMENT IN,Russell 2000,Energy,52.3," 2,379,675,136 ",82.48686515
CEIX,CONSOL ENERGY INC,Russell 2000,Energy,52," 1,757,400,576 ",81.9614711
EOLS,EVOLUS INC,Russell 2000,Health Care,52," 635,473,856 ",81.9614711
BRY,BERRY,Russell 2000,Energy,51.9," 920,658,304 ",81.78633975
PPTA,PERPETUA RESOURCES CORP,Russell 2000,Materials,51.8," 232,234,944 ",81.61120841
IPI,INTREPID POTASH INC,Russell 2000,Materials,51.3," 1,113,576,576 ",80.73555166
AMRS,AMYRIS INC,Russell 2000,Materials,51," 1,253,239,680 ",80.21015762
PLM,POLYMET MINING CORP,Russell 2000,Materials,51," 329,316,768 ",80.21015762
MTRN,MATERION CORP,Russell 2000,Materials,50.9," 1,770,749,184 ",80.03502627
LPI,LAREDO PETROLEUM INC,Russell 2000,Energy,50.3," 1,349,579,392 ",78.98423818
VIA,VIA RENEWABLES INC CLASS A,Russell 2000,Utilities,49.5," 267,664,256 ",77.58318739
ZEUS,OLYMPIC STEEL INC,Russell 2000,Materials,49.4," 398,562,176 ",77.40805604
BTU,PEABODY ENERGY CORP,Russell 2000,Energy,49.3," 3,134,354,176 ",77.23292469
ARTNA,ARTESIAN RESOURCES CORP CLASS A,Russell 2000,Utilities,49.1," 439,185,568 ",76.882662
PDCE,PDC ENERGY INC,Russell 2000,Energy,48.9," 7,353,208,832 ",76.5323993
ARCH,ARCH RESOURCES INC CLASS A,Russell 2000,Energy,48.7," 2,755,286,784 ",76.1821366
KROS,KEROS THERAPEUTICS INC,Russell 2000,Health Care,48.6," 1,337,083,008 ",76.00700525
VITL,VITAL FARMS INC,Russell 2000,Consumer Staples,42.8," 509,223,072 ",65.84938704
UTZ,UTZ BRANDS INC CLASS A,Russell 2000,Consumer Staples,48.2," 1,163,730,048 ",75.30647986
CNX,CNX RESOURCES CORP,Russell 2000,Energy,48.1," 4,250,756,096 ",75.13134851
UUUU,ENERGY FUELS INC,Russell 2000,Energy,48.1," 1,211,834,624 ",75.13134851
UEC,URANIUM ENERGY CORP,Russell 2000,Energy,47.8," 1,349,981,568 ",74.60595447
AMTX,AEMETIS INC,Russell 2000,Energy,47.6," 356,806,304 ",74.25569177
AERI,AERIE PHARMACEUTICALS INC,Russell 2000,Health Care,47.4," 393,954,048 ",73.90542907
OTTR,OTTER TAIL CORP,Russell 2000,Utilities,47.1," 2,636,969,216 ",73.38003503
BYRN,BYRNA TECHNOLOGIES INC,Russell 2000,Industrials,47.1," 147,803,680 ",73.38003503
KRTX,KARUNA THERAPEUTICS INC,Russell 2000,Health Care,47," 3,650,011,904 ",73.20490368
AVTX,AVALO THERAPEUTICS INC,Russell 2000,Health Care,47," 44,429,556 ",73.20490368
HOOK,HOOKIPA PHARMA INC,Russell 2000,Health Care,46.9," 85,209,408 ",73.02977233
GWRS,GLOBAL WATER RESOURCES INC,Russell 2000,Utilities,46.8," 324,642,592 ",72.85464098
MBIO,MUSTANG BIO INC,Russell 2000,Health Care,46.8," 74,175,384 ",72.85464098
CTRA,Coterra,S&P 500,Energy,46.7," 26,575,781,888 ",72.67950963
SENEA,SENECA FOODS CORP CLASS A,Russell 2000,Consumer Staples,46.7," 453,048,512 ",72.67950963
WOR,WORTHINGTON INDUSTRIES INC,Russell 2000,Materials,46.6," 2,437,388,544 ",72.50437828
MNMD,MIND MEDICINE SUBORDINATE VOTING I,Russell 2000,Health Care,46.6," 388,609,824 ",72.50437828
UAVS,AGEAGLE AERIAL SYS INC,Russell 2000,Industrials,46.6," 76,674,384 ",72.50437828
SM,SM ENERGY,Russell 2000,Energy,46.4," 4,847,749,632 ",72.15411559
KTOS,KRATOS DEFENSE AND SECURITY SOLUTI,Russell 2000,Industrials,46.3," 2,034,902,400 ",71.97898424
PBF,PBF ENERGY INC CLASS A,Russell 2000,Energy,46.2," 3,839,913,984 ",71.80385289
CPE,CALLON PETROLEUM,Russell 2000,Energy,46.1," 3,399,377,152 ",71.62872154
PARR,PAR PACIFIC HOLDINGS INC,Russell 2000,Energy,46.1," 978,172,352 ",71.62872154
DCO,DUCOMMUN INC,Russell 2000,Industrials,46.1," 638,657,344 ",71.62872154
LMNR,LIMONEIRA,Russell 2000,Consumer Staples,46.1," 199,696,992 ",71.62872154
FREE,WHOLE EARTH BRANDS INC CLASS A,Russell 2000,Consumer Staples,45.9," 289,538,464 ",71.27845884
KOPN,KOPIN CORP,Russell 2000,Information Technology,45.9," 163,567,584 ",71.27845884
FANG,Diamondback,S&P 500,Energy,45.8," 25,299,245,056 ",71.1033275
APA,APA Corporation,S&P 500,Energy,45.8," 15,681,100,800 ",71.1033275
CTSO,CYTOSORBENTS CORP,Russell 2000,Health Care,45.8," 100,400,648 ",71.1033275
AJRD,AEROJET ROCKETDYNE HOLDINGS INC,Russell 2000,Industrials,45.7," 3,272,690,688 ",70.92819615
RYI,RYERSON HOLDING CORP,Russell 2000,Materials,45.7," 1,529,624,960 ",70.92819615
TGI,TRIUMPH GROUP INC,Russell 2000,Industrials,45.7," 1,505,235,072 ",70.92819615
SWTX,SPRINGWORKS THERAPEUTICS INC,Russell 2000,Health Care,45.6," 2,362,999,808 ",70.7530648
COLL,COLLEGIUM PHARMACEUTICAL INC,Russell 2000,Health Care,45.6," 542,769,600 ",70.7530648
TMST,TIMKENSTEEL CORP,Russell 2000,Materials,45.4," 955,463,040 ",70.4028021
KALA,KALA PHARMACEUTICALS INC,Russell 2000,Health Care,45.4," 53,719,560 ",70.4028021
PACK,RANPAK HOLDINGS CORP CLASS A,Russell 2000,Materials,45.3," 1,291,336,960 ",70.22767075
BKH,BLACK HILLS CORP,Russell 2000,Utilities,44.8," 4,910,329,856 ",69.35201401
AVD,AMER VANGUARD CORP,Russell 2000,Materials,44.8," 688,521,792 ",69.35201401
CBAY,CYMABAY THERAPEUTICS INC,Russell 2000,Health Care,44.8," 187,138,176 ",69.35201401
ETNB,89BIO INC,Russell 2000,Health Care,44.8," 46,627,388 ",69.35201401
WLL,WHITING PETROLEUM CORP,Russell 2000,Energy,44.7," 3,071,832,320 ",69.17688266
ROAD,CONSTRUCTION PARTNERS INC CLASS A,Russell 2000,Industrials,44.7," 1,431,100,544 ",69.17688266
VRCA,VERRICA PHARMACEUTICALS INC,Russell 2000,Health Care,44.7," 182,741,728 ",69.17688266
OYST,OYSTER POINT PHARMA INC,Russell 2000,Health Care,44.6," 179,217,696 ",69.00175131
SAFM,SANDERSON FARMS INC,Russell 2000,Consumer Staples,44.5," 4,292,285,696 ",68.82661996
IGMS,IGM BIOSCIENCES INC,Russell 2000,Health Care,44.5," 848,393,280 ",68.82661996
HRMY,HARMONY BIOSCIENCES HLDG INC,Russell 2000,Health Care,44.4," 2,742,448,384 ",68.65148862
OMER,OMEROS CORP,Russell 2000,Health Care,44.4," 219,542,752 ",68.65148862
IBTX,INDEPENDENT BANK GROUP INC,Russell 2000,Financials,44.3," 3,033,546,496 ",68.47635727
INDT,INDUS REALTY TRUST INC,Russell 2000,Real Estate,44.3," 741,038,784 ",68.47635727
DAWN,DAY ONE BIOPHARMACEUTICALS INC,Russell 2000,Health Care,44.3," 602,795,840 ",68.47635727
CGEM,CULLINAN ONCOLOGY INC,Russell 2000,Health Care,44.3," 491,140,704 ",68.47635727
BBCP,CONCRETE PUMPING HOLDINGS INC,Russell 2000,Industrials,44.3," 298,455,040 ",68.47635727
RPHM,RENEO PHARMACEUTICALS INC,Russell 2000,Health Care,44.3," 59,792,696 ",68.47635727
PI,IMPINJ INC,Russell 2000,Information Technology,44.2," 1,354,573,312 ",68.30122592
ATEC,ALPHATEC HOLDNGS INC,Russell 2000,Health Care,44.2," 1,140,000,896 ",68.30122592
GOSS,GOSSAMER BIO INC,Russell 2000,Health Care,44.2," 577,565,120 ",68.30122592
TNYA,TENAYA THERAPEUTICS INC,Russell 2000,Health Care,44.2," 388,897,696 ",68.30122592
KRON,KRONOS BIO INC,Russell 2000,Health Care,44.2," 291,232,992 ",68.30122592
AMPE,AMPIO PHARMACEUTICALS INC,Russell 2000,Health Care,44.2," 61,340,496 ",68.30122592
KRYS,KRYSTAL BIOTECH INC,Russell 2000,Health Care,44.1," 1,681,478,656 ",68.12609457
AVO,MISSION PRODUCE INC,Russell 2000,Consumer Staples,44.1," 909,733,760 ",68.12609457
PHAT,PHATHOM PHARMACEUTICALS INC,Russell 2000,Health Care,44.1," 533,332,800 ",68.12609457
LSF,LAIRD SUPERFOOD INC,Russell 2000,Consumer Staples,44.1," 27,283,620 ",68.12609457
HAYN,HAYNES INTERNATIONAL INC,Russell 2000,Materials,44," 493,999,360 ",67.95096322
KNTE,KINNATE BIOPHARMA INC,Russell 2000,Health Care,44," 370,713,472 ",67.95096322
ARQT,ARCUTIS BIOTHERAPEUTICS INC,Russell 2000,Health Care,43.9," 1,130,681,856 ",67.77583187
ARCT,ARCTURUS THERAPEUTICS HOLDINGS INC,Russell 2000,Health Care,43.9," 595,811,264 ",67.77583187
TCRR,TCR2 THERAPEUTICS INC,Russell 2000,Health Care,43.9," 96,365,752 ",67.77583187
TELL,TELLURIAN INC,Russell 2000,Energy,43.8," 2,869,551,360 ",67.60070053
OAS,OASIS PETROLEUM INC,Russell 2000,Energy,43.8," 2,779,232,768 ",67.60070053
FULC,FULCRUM THERAPEUTICS INC,Russell 2000,Health Care,43.8," 395,847,904 ",67.60070053
APPH,APPHARVEST INC,Russell 2000,Consumer Staples,43.8," 351,224,608 ",67.60070053
NLTX,NEOLEUKIN THERAPEUTICS INC,Russell 2000,Health Care,43.8," 59,066,660 ",67.60070053
BYSI,BEYONDSPRING INC,Russell 2000,Health Care,43.7," 65,789,844 ",67.42556918
STXS,STEREOTAXIS INC,Russell 2000,Health Care,43.6," 185,861,808 ",67.25043783
PLSE,PULSE BIOSCIENCES INC,Russell 2000,Health Care,43.6," 79,274,120 ",67.25043783
OXY,Occidental Petroleum,S&P 500,Energy,43.5," 57,685,487,616 ",67.07530648
CVI,CVR ENERGY INC,Russell 2000,Energy,43.5," 3,291,385,088 ",67.07530648
TTCF,TATTOOED CHEF INC CLASS A,Russell 2000,Consumer Staples,43.5," 710,646,592 ",67.07530648
AXSM,AXSOME THERAPEUTICS INC,Russell 2000,Health Care,43.4," 1,498,165,888 ",66.90017513
AEVA,AEVA TECHNOLOGIES INC,Russell 2000,Information Technology,43.4," 767,047,168 ",66.90017513
REX,REX AMERICAN RESOURCES CORP,Russell 2000,Energy,43.4," 532,831,776 ",66.90017513
HCC,WARRIOR MET COAL INC,Russell 2000,Materials,43.3," 1,822,387,968 ",66.72504378
RLMD,RELMADA THERAPEUTICS INC,Russell 2000,Health Care,43.3," 714,329,216 ",66.72504378
NNBR,NN INC,Russell 2000,Industrials,43.3," 137,376,640 ",66.72504378
STIM,NEURONETICS INC,Russell 2000,Health Care,43.3," 68,672,520 ",66.72504378
DHT,DHT HOLDINGS INC,Russell 2000,Energy,43.2," 964,839,872 ",66.54991243
MTSI,MACOM TECHNOLOGY SOLUTIONS INC,Russell 2000,Information Technology,43.1," 3,830,698,240 ",66.37478109
CENX,CENTURY ALUMINUM,Russell 2000,Materials,43.1," 1,410,440,576 ",66.37478109
ACRS,ACLARIS THERAPEUTICS INC,Russell 2000,Health Care,43.1," 867,411,712 ",66.37478109
CVX,Chevron,S&P 500,Energy,43," 329,290,874,880 ",66.19964974
KALV,KALVISTA PHARMACEUTICALS INC,Russell 2000,Health Care,42.9," 312,927,072 ",66.02451839
MRNS,MARINUS PHARMACEUTICALS INC,Russell 2000,Health Care,42.9," 245,443,984 ",66.02451839
CTXR,CITIUS PHARMACEUTICALS INC,Russell 2000,Health Care,42.9," 150,410,896 ",66.02451839
HOWL,WEREWOLF THERAPEUTICS INC,Russell 2000,Health Care,42.9," 147,396,880 ",66.02451839
MASS,908 DEVICES,Russell 2000,Information Technology,42.8," 622,976,384 ",65.84938704
ANIP,ANI PHARMACEUTICALS INC,Russell 2000,Health Care,42.8," 497,436,480 ",65.84938704
AKRO,AKERO THERAPEUTICS INC,Russell 2000,Health Care,42.8," 413,270,240 ",65.84938704
AXGN,AXOGEN INC,Russell 2000,Health Care,42.8," 346,729,216 ",65.84938704
ABOS,ACUMEN PHARMACEUTICALS INC,Russell 2000,Health Care,42.8," 163,200,992 ",65.84938704
VAPO,VAPOTHERM INC,Russell 2000,Health Care,42.8," 129,491,936 ",65.84938704
PRTK,PARATEK PHARMACEUTICALS INC,Russell 2000,Health Care,42.8," 122,031,824 ",65.84938704
TMDX,TRANSMEDICS GROUP INC,Russell 2000,Health Care,42.7," 863,736,320 ",65.67425569
MIRM,MIRUM PHARMACEUTICALS INC,Russell 2000,Health Care,42.7," 775,036,864 ",65.67425569
TPC,TUTOR PERINI CORP,Russell 2000,Industrials,42.7," 489,645,280 ",65.67425569
PRAX,PRAXIS PRECISION MEDICINES INC,Russell 2000,Health Care,42.7," 416,666,368 ",65.67425569
IMPL,IMPEL NEUROPHARMA INC,Russell 2000,Health Care,42.7," 180,128,256 ",65.67425569
BMEA,BIOMEA FUSION INC,Russell 2000,Health Care,42.7," 113,259,688 ",65.67425569
AFIB,ACUTUS MEDICAL INC,Russell 2000,Health Care,42.7," 33,720,172 ",65.67425569
ALTO,ALTO INGREDIENTS INC,Russell 2000,Energy,42.6," 434,249,056 ",65.49912434
URG,UR ENERGY INC,Russell 2000,Energy,42.6," 311,329,312 ",65.49912434
TARS,TARSUS PHARMACEUTICALS INC,Russell 2000,Health Care,42.6," 287,037,184 ",65.49912434
CHK,CHESAPEAKE ENERGY CORP,Russell 2000,Energy,42.5," 12,157,250,560 ",65.32399299
IMVT,IMMUNOVANT INC,Russell 2000,Health Care,42.5," 561,139,200 ",65.32399299
AVIR,ATEA PHARMACEUTICALS INC,Russell 2000,Health Care,42.5," 509,340,672 ",65.32399299
VATE,INNOVATE CORP,Russell 2000,Industrials,42.5," 246,278,048 ",65.32399299
CLNN,CLENE,Russell 2000,Health Care,42.5," 198,594,016 ",65.32399299
SBTX,SILVERBACK THERAPEUTICS INC,Russell 2000,Health Care,42.5," 112,464,960 ",65.32399299
ANNX,ANNEXON INC,Russell 2000,Health Care,42.5," 104,507,360 ",65.32399299
TWNK,HOSTESS BRANDS INC CLASS A,Russell 2000,Consumer Staples,42.4," 3,123,304,448 ",65.14886165
FOE,FERRO CORP,Russell 2000,Materials,42.4," 1,843,421,184 ",65.14886165
UTL,UNITIL CORP,Russell 2000,Utilities,42.4," 842,446,848 ",65.14886165
NAT,NORDIC AMERICAN TANKERS LTD,Russell 2000,Energy,42.4," 528,928,512 ",65.14886165
ICVX,ICOSAVAX INC,Russell 2000,Health Care,42.4," 339,292,480 ",65.14886165
CPK,CHESAPEAKE UTILITIES CORP,Russell 2000,Utilities,42.3," 2,306,967,808 ",64.9737303
BTX,BROOKLYN IMMUNOTHERAPEUTICS INC,Russell 2000,Health Care,42.3," 59,749,972 ",64.9737303
ERAS,ERASCA INC,Russell 2000,Health Care,42.2," 1,005,412,928 ",64.79859895
SXC,SUNCOKE ENERGY INC,Russell 2000,Materials,42.2," 710,721,280 ",64.79859895
KNSA,KINIKSA PHARMACEUTICALS LTD CLASS,Russell 2000,Health Care,42.2," 685,115,904 ",64.79859895
AWH,ASPIRA WOMENS HEALTH INC,Russell 2000,Health Care,42.2," 78,878,576 ",64.79859895
MRO,Marathon Oil,S&P 500,Energy,42.1," 19,896,954,880 ",64.6234676
VEC,VECTRUS INC,Russell 2000,Industrials,42.1," 434,542,080 ",64.6234676
CIR,CIRCOR INTERNATIONAL INC,Russell 2000,Industrials,42.1," 406,375,456 ",64.6234676
NARI,INARI MEDICAL INC,Russell 2000,Health Care,42," 4,420,607,488 ",64.44833625
AMTB,AMERANT BANCORP INC CLASS A,Russell 2000,Financials,42," 971,781,184 ",64.44833625
BRBR,BELLRING BRANDS INC,Russell 2000,Consumer Staples,42," 839,589,760 ",64.44833625
LEU,CENTRUS ENERGY CORP CLASS A,Russell 2000,Energy,42," 442,271,360 ",64.44833625
CDAK,CODIAK BIOSCIENCES,Russell 2000,Health Care,42," 76,479,264 ",64.44833625
VRAY,VIEWRAY INC,Russell 2000,Health Care,41.9," 495,156,352 ",64.2732049
DRRX,DURECT CORP,Russell 2000,Health Care,41.9," 111,570,064 ",64.2732049
OCUL,OCULAR THERAPEUTIX INC,Russell 2000,Health Care,41.7," 315,459,776 ",63.92294221
MLR,MILLER INDUSTRIES INC,Russell 2000,Industrials,41.7," 310,256,928 ",63.92294221
PCRX,PACIRA BIOSCIENCES INC,Russell 2000,Health Care,41.6," 3,369,243,904 ",63.74781086
HL,HECLA MINING,Russell 2000,Materials,41.6," 2,910,092,288 ",63.74781086
BBIO,BRIDGEBIO PHARMA INC,Russell 2000,Health Care,41.6," 1,279,363,840 ",63.74781086
ALGS,ALIGOS THERAPEUTICS INC,Russell 2000,Health Care,41.5," 52,942,048 ",63.57267951
IBRX,IMMUNITYBIO INC,Russell 2000,Health Care,41.4," 1,750,997,504 ",63.39754816
VCYT,VERACYTE INC,Russell 2000,Health Care,41.4," 1,603,904,384 ",63.39754816
GBIO,GENERATION BIO,Russell 2000,Health Care,41.4," 404,661,056 ",63.39754816
APYX,APYX MEDICAL CORP,Russell 2000,Health Care,41.4," 131,689,016 ",63.39754816
CALM,CAL MAINE FOODS INC,Russell 2000,Consumer Staples,41.3," 2,674,647,040 ",63.22241681
ATCX,ATLAS TECHNICAL CONSULTANTS INC CL,Russell 2000,Industrials,41.3," 436,458,176 ",63.22241681
VLDR,VELODYNE LIDAR INC,Russell 2000,Information Technology,41.3," 425,832,160 ",63.22241681
ACA,ARCOSA INC,Russell 2000,Industrials,41.2," 2,696,800,768 ",63.04728546
VHI,VALHI INC,Russell 2000,Materials,41.2," 975,559,936 ",63.04728546
PMVP,PMV PHARMACEUTICALS INC,Russell 2000,Health Care,41.2," 723,530,240 ",63.04728546
IVC,INVACARE CORP,Russell 2000,Health Care,41.2," 56,238,584 ",63.04728546
JJSF,J AND J SNACK FOODS CORP,Russell 2000,Consumer Staples,41.1," 2,762,657,024 ",62.87215412
AHCO,ADAPTHEALTH CORP,Russell 2000,Health Care,41.1," 1,810,449,792 ",62.87215412
AMPH,AMPHASTAR PHARMACEUTICALS INC,Russell 2000,Health Care,41.1," 1,709,385,728 ",62.87215412
CSII,CARDIOVASCULAR SYSTEMS INC,Russell 2000,Health Care,41.1," 700,393,536 ",62.87215412
KWR,QUAKER CHEMICAL CORP,Russell 2000,Materials,41," 3,041,315,584 ",62.69702277
